               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.025518,           0.0090618,            0.024198,             0.83729,              0.6597,             0.74569,             0.53103,            0.028051,           0.0054257,            0.026274,           0.0086536,           0.0086536,           0.0086536
                  70,            0.026536,           0.0090852,            0.025995,             0.89247,             0.69212,             0.77537,             0.59953,            0.024452,           0.0050189,            0.022862,           0.0086338,           0.0086338,           0.0086338
                  71,            0.025559,           0.0090465,            0.025211,             0.82258,             0.64905,             0.71391,             0.53555,            0.022593,           0.0057141,            0.025823,            0.008614,            0.008614,            0.008614
                  72,            0.026696,           0.0089051,            0.023753,             0.89111,             0.64998,             0.76618,             0.58465,            0.020451,           0.0058469,            0.022718,           0.0085942,           0.0085942,           0.0085942
                  73,            0.025935,           0.0090202,             0.02515,             0.82881,             0.71993,             0.75228,              0.5815,            0.018381,           0.0049558,            0.022016,           0.0085744,           0.0085744,           0.0085744
                  74,            0.025812,           0.0086141,            0.024383,             0.78632,              0.7471,              0.7316,             0.54674,            0.023005,           0.0052166,             0.02529,           0.0085546,           0.0085546,           0.0085546
                  75,             0.02628,           0.0088981,            0.023806,             0.86803,             0.69379,             0.75453,             0.57222,            0.020701,           0.0055443,            0.026523,           0.0085348,           0.0085348,           0.0085348
                  76,            0.027157,           0.0088023,            0.023156,             0.86974,             0.74928,             0.77692,              0.5805,             0.02262,           0.0056953,            0.023392,            0.008515,            0.008515,            0.008515
                  77,            0.025732,           0.0084963,            0.021129,             0.86512,             0.67337,             0.75975,             0.58529,            0.019717,           0.0056125,            0.023566,           0.0084952,           0.0084952,           0.0084952
                  78,            0.025919,           0.0085465,            0.022305,             0.92042,             0.67926,             0.77418,             0.61771,            0.019107,           0.0050662,            0.021972,           0.0084754,           0.0084754,           0.0084754
                  79,            0.025439,           0.0085349,            0.022607,             0.91735,             0.72362,             0.78414,             0.60514,            0.023823,           0.0049943,            0.021266,           0.0084556,           0.0084556,           0.0084556
                  80,            0.027367,             0.00871,            0.022202,             0.88442,             0.75482,              0.7831,             0.61507,            0.019437,           0.0047092,            0.023064,           0.0084358,           0.0084358,           0.0084358
                  81,            0.025954,           0.0088957,            0.022915,             0.89383,             0.69233,             0.77929,             0.57888,            0.018904,           0.0049877,            0.026966,            0.008416,            0.008416,            0.008416
                  82,            0.024483,           0.0087649,            0.022326,             0.87033,             0.68543,             0.76203,             0.59639,            0.021207,           0.0057279,            0.024024,           0.0083962,           0.0083962,           0.0083962
                  83,            0.025558,           0.0088854,            0.022556,             0.85044,             0.65387,             0.74351,             0.55635,            0.021537,           0.0054987,            0.024741,           0.0083764,           0.0083764,           0.0083764
                  84,            0.026252,           0.0087444,            0.023139,             0.78592,              0.6917,             0.72865,             0.52975,            0.022568,           0.0052935,             0.02538,           0.0083566,           0.0083566,           0.0083566
                  85,            0.024605,           0.0085415,              0.0209,             0.83736,             0.73857,             0.77135,             0.55483,            0.025306,            0.004284,            0.024665,           0.0083368,           0.0083368,           0.0083368
                  86,            0.024454,           0.0087756,            0.021291,             0.85706,             0.74108,             0.79286,             0.55741,            0.023322,           0.0041736,            0.026515,            0.008317,            0.008317,            0.008317
                  87,            0.025826,           0.0086275,            0.021579,             0.86821,              0.7381,             0.76708,             0.56562,            0.026703,            0.005489,            0.022454,           0.0082972,           0.0082972,           0.0082972
                  88,            0.025184,           0.0083542,            0.021521,             0.85219,             0.65402,             0.74397,             0.57556,            0.022866,            0.006213,            0.022477,           0.0082774,           0.0082774,           0.0082774
                  89,            0.025627,           0.0090798,            0.022782,             0.83594,             0.64231,             0.73669,             0.58498,            0.023767,           0.0051649,            0.035064,           0.0082576,           0.0082576,           0.0082576
                  90,            0.024773,           0.0084698,            0.020396,             0.86561,             0.69271,             0.74704,             0.57553,            0.024284,           0.0047878,            0.025953,           0.0082378,           0.0082378,           0.0082378
                  91,            0.025198,            0.008543,            0.020422,             0.82213,             0.74075,             0.77429,              0.5943,            0.022333,           0.0044556,            0.026584,            0.008218,            0.008218,            0.008218
                  92,            0.025079,           0.0085746,            0.020699,             0.82234,             0.63261,             0.72526,             0.55696,            0.018477,           0.0049791,            0.031194,           0.0081982,           0.0081982,           0.0081982
                  93,            0.024613,           0.0086198,            0.022971,             0.92019,              0.6987,             0.77587,             0.58964,            0.022927,           0.0047249,            0.025819,           0.0081784,           0.0081784,           0.0081784
                  94,            0.023785,           0.0086387,            0.020565,             0.90236,             0.66557,             0.75828,             0.58451,            0.020888,           0.0047503,            0.026315,           0.0081586,           0.0081586,           0.0081586
                  95,            0.024945,           0.0087219,             0.02077,             0.83686,             0.68635,             0.76881,             0.57491,            0.021271,           0.0052418,            0.025571,           0.0081388,           0.0081388,           0.0081388
                  96,            0.024649,           0.0087119,            0.021558,             0.82665,             0.72152,              0.7768,             0.56015,            0.025268,           0.0057041,            0.031525,            0.008119,            0.008119,            0.008119
                  97,            0.024301,           0.0084262,            0.021034,             0.92093,             0.68756,             0.78941,             0.59326,            0.021329,           0.0055508,            0.025401,           0.0080992,           0.0080992,           0.0080992
                  98,            0.025192,           0.0081591,            0.019763,             0.85508,             0.72769,             0.77341,             0.59054,            0.019916,           0.0062326,             0.02194,           0.0080794,           0.0080794,           0.0080794
                  99,            0.025671,           0.0081784,            0.019508,             0.86963,             0.71337,             0.78498,             0.61401,            0.019076,           0.0054426,            0.022498,           0.0080596,           0.0080596,           0.0080596
                 100,            0.024287,           0.0085452,            0.021696,             0.82929,             0.69242,               0.743,             0.58229,            0.023602,           0.0056352,            0.033039,           0.0080398,           0.0080398,           0.0080398
                 101,            0.023959,           0.0085903,            0.018472,             0.87851,             0.71215,             0.77483,             0.59863,            0.022851,           0.0050883,            0.023941,             0.00802,             0.00802,             0.00802
                 102,            0.024254,           0.0084255,            0.019933,             0.87152,              0.7289,             0.77225,             0.59285,            0.023113,           0.0051709,            0.023925,           0.0080002,           0.0080002,           0.0080002
                 103,            0.024407,           0.0080506,            0.018294,             0.86167,             0.67613,             0.75536,             0.56055,            0.022279,            0.006336,            0.028902,           0.0079804,           0.0079804,           0.0079804
                 104,            0.024631,           0.0087014,            0.021285,             0.85974,             0.69907,             0.77109,             0.60472,            0.022847,           0.0052817,            0.024413,           0.0079606,           0.0079606,           0.0079606
                 105,            0.024163,           0.0084678,            0.022396,             0.81147,             0.74343,             0.74924,             0.55401,            0.024156,           0.0046164,            0.026808,           0.0079408,           0.0079408,           0.0079408
                 106,            0.024529,           0.0084626,            0.020164,             0.83263,             0.69878,             0.76121,             0.57557,            0.023143,           0.0053741,            0.026463,            0.007921,            0.007921,            0.007921
                 107,            0.024134,           0.0083662,            0.020407,             0.86537,             0.72512,             0.76999,             0.56312,            0.024205,           0.0055373,            0.023675,           0.0079012,           0.0079012,           0.0079012
                 108,            0.024196,            0.008335,            0.019874,             0.87692,             0.66887,             0.76588,             0.59291,            0.020553,           0.0057559,            0.029637,           0.0078814,           0.0078814,           0.0078814
                 109,            0.024083,           0.0082736,            0.020079,             0.86402,              0.6998,             0.77145,             0.57375,            0.020739,           0.0057078,            0.028436,           0.0078616,           0.0078616,           0.0078616
                 110,            0.023747,            0.008341,            0.020691,             0.88345,             0.72143,              0.7905,              0.5901,            0.022662,            0.005135,            0.026678,           0.0078418,           0.0078418,           0.0078418
                 111,            0.024129,           0.0083145,            0.019778,             0.83286,             0.71078,             0.77837,             0.58416,            0.022121,           0.0055826,            0.028547,            0.007822,            0.007822,            0.007822
                 112,            0.024692,           0.0081035,            0.019641,             0.84876,             0.72959,             0.78297,             0.61108,            0.020992,           0.0051324,            0.022953,           0.0078022,           0.0078022,           0.0078022
                 113,            0.024307,           0.0080999,            0.019123,             0.87553,             0.73557,             0.78892,             0.59083,            0.028106,           0.0049204,            0.024535,           0.0077824,           0.0077824,           0.0077824
                 114,            0.023967,           0.0081228,            0.017322,             0.88281,             0.71681,             0.78461,             0.59419,            0.022822,            0.005128,            0.021391,           0.0077626,           0.0077626,           0.0077626
                 115,            0.023992,           0.0083413,            0.018588,             0.79873,             0.72964,             0.76074,             0.58117,            0.022243,           0.0046074,            0.023636,           0.0077428,           0.0077428,           0.0077428
                 116,            0.024358,           0.0081733,            0.017946,             0.90958,             0.70761,             0.79817,             0.60143,            0.019953,           0.0052949,            0.022418,            0.007723,            0.007723,            0.007723
                 117,            0.023935,           0.0081208,            0.017898,             0.91821,             0.67397,             0.78726,             0.61837,            0.020448,           0.0050863,            0.023255,           0.0077032,           0.0077032,           0.0077032
                 118,            0.023989,           0.0083202,            0.019474,             0.88083,             0.71581,             0.77126,             0.60721,            0.022219,           0.0055817,            0.028629,           0.0076834,           0.0076834,           0.0076834
                 119,            0.023163,           0.0080228,            0.018155,             0.87618,             0.72991,             0.79108,             0.59975,            0.022541,           0.0047784,            0.025902,           0.0076636,           0.0076636,           0.0076636
                 120,            0.024425,           0.0083634,             0.01818,             0.91091,             0.71728,             0.80388,             0.58722,            0.024628,           0.0052043,            0.021658,           0.0076438,           0.0076438,           0.0076438
